No.,Question,Passage,BaseModelAnswer(GPT-3),CoVeAnswer
1,Name some Animals that can only be found in Oman,"Arabian toad, Asaccus gallagheri, Asaccus platyrhynchus, Acanthodactylus masirae, Hemidactylus luqueorum, Asaccus arnoldi, Dhofar toad, Hemidactylus masirahensis, and Asaccus margaritae are representative examples related to the request: “Name some Animals that can only be found in Oman”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Arabian toad; Dhofar toad,Arabian toad; Dhofar toad
2,Name some Novels by Ernst Jünger,"The Glass Bees, Eumeswil, Heliopolis (Jünger novel), Sturm (novella), On the Marble Cliffs, Aladdin's Problem, Visit to Godenholm, and A Dangerous Encounter are representative examples related to the request: “Name some Novels by Ernst Jünger”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",The Glass Bees; Eumeswil; On the Marble Cliffs; Aladdin's Problem; Visit to Godenholm; A Dangerous Encounter,The Glass Bees; Eumeswil; On the Marble Cliffs; Aladdin's Problem; Visit to Godenholm; A Dangerous Encounter
3,Name some movies based on works by Alexander Ostrovsky,"Balzaminov's Marriage, Wolves and Sheep (film), An Ardent Heart (film), The Snow Maiden (1952 film), The Storm (1933 film), The Last Victim (1975 film), Without a Dowry (film), and A Cruel Romance are representative examples related to the request: “Name some movies based on works by Alexander Ostrovsky”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Balzaminov's Marriage; Wolves and Sheep; An Ardent Heart; The Snow Maiden; The Storm; The Last Victim; Without a Dowry; A Cruel Romance,Balzaminov's Marriage; Wolves and Sheep; An Ardent Heart; The Snow Maiden; The Storm; The Last Victim; Without a Dowry; A Cruel Romance
4,Name some Dave Eggers books,"Zeitoun (book), You Shall Know Our Velocity, The Circle (Eggers novel), What Is the What, A Heartbreaking Work of Staggering Genius, The Wild Things, A Hologram for the King, and The Every are representative examples related to the request: “Name some Dave Eggers books”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Zeitoun; You Shall Know Our Velocity; The Circle; What Is the What; A Heartbreaking Work of Staggering Genius; The Wild Things; A Hologram for the King; The Every,Zeitoun; You Shall Know Our Velocity; The Circle; What Is the What; A Heartbreaking Work of Staggering Genius; The Wild Things; A Hologram for the King; The Every
5,Name some Novels by Aleksey Pisemsky,"In the Vortex, An Old Man's Sin, The Simpleton, Boyarshchina, The Philistines (Pisemsky novel), and Masons (novel) are representative examples related to the request: “Name some Novels by Aleksey Pisemsky”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",In the Vortex; An Old Man's Sin; The Simpleton; Boyarshchina; The Philistines; Masons,In the Vortex; An Old Man's Sin; The Simpleton; Boyarshchina; The Philistines; Masons
6,Name some Horror films from Serbia,"T.T. Syndrome, The Life and Death of a Porno Gang, Zone of the Dead, Strangler vs. Strangler, Reflections (1987 film), Leptirica, You Won't Be Alone, and A Serbian Film are representative examples related to the request: “Name some Horror films from Serbia”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",T.T. Syndrome; The Life and Death of a Porno Gang; Zone of the Dead; Strangler vs. Strangler; Leptirica; A Serbian Film,T.T. Syndrome; The Life and Death of a Porno Gang; Zone of the Dead; Strangler vs. Strangler; Leptirica; A Serbian Film
7,Name some Afghanistan's insects,"Parnassius actius, Xylocopa violacea, Saga pedo, Vespa tropica, Chrysochares asiaticus, Bandar pascoei, Melanargia galathea, Parnassius jacquemontii, Parnassius stoliczkanus, and Xylocopa valga are representative examples related to the request: “Name some Afghanistan's insects”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Parnassius actius; Xylocopa violacea; Saga pedo; Vespa tropica; Chrysochares asiaticus; Bandar pascoei; Melanargia galathea; Parnassius jacquemontii; Parnassius stoliczkanus; Xylocopa valga,Parnassius actius; Xylocopa violacea; Saga pedo; Vespa tropica; Chrysochares asiaticus; Bandar pascoei; Melanargia galathea; Parnassius jacquemontii; Parnassius stoliczkanus; Xylocopa valga
8,Name some Mammals from Lesotho,"Black wildebeest, Bontebok, Woodland dormouse, Grey rhebok, Chacma baboon, Cape ground squirrel, Mountain reedbuck, Burchell's zebra, Common eland, and Cape gray mongoose are representative examples related to the request: “Name some Mammals from Lesotho”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Grey rhebok; Cape ground squirrel; Mountain reedbuck; Common eland; Cape gray mongoose,Grey rhebok; Mountain reedbuck; Common eland
9,Name some Insects from the late Cretaceous period,"Chronomyrmex, Afropone, Cretomicrophorus, Manipulator (insect), Cretorhyssalus, Afromyrma, Archichrysotus, Cretapsyche, Retinitus, and Chrysidoidea are representative examples related to the request: “Name some Insects from the late Cretaceous period”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Chronomyrmex; Afropone; Cretomicrophorus; Cretorhyssalus; Afromyrma; Archichrysotus; Cretapsyche; Retinitus; Chrysidoidea,Chronomyrmex; Afropone; Cretomicrophorus; Cretorhyssalus; Afromyrma; Archichrysotus; Cretapsyche; Retinitus
10,Name some Volleyball films,"All You've Got, Air Bud: Spikes Back, The Miracle Season, One Win, Spiker (film), The Iron Ladies, Beach Spike, Leap (film), and Side Out are representative examples related to the request: “Name some Volleyball films”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",All You've Got; Air Bud: Spikes Back; The Miracle Season; One Win; Spiker (film); The Iron Ladies; Beach Spike; Leap (film); Side Out,All You've Got; Air Bud: Spikes Back; The Miracle Season; One Win; Spiker; The Iron Ladies; Beach Spike; Leap; Side Out
